condition,level,mae,rmse,r2,signed_bias,std_error,steady_plateau_bias,steady_plateau_mae,onset_error,decay_error,trough_error_p05,subject
decline_5deg,lv0,0.0193208493292331,0.0292532928287982,0.9445109668620554,-0.0088336803019046,0.0278876535594463,-0.0094003519043326,0.0178057607263326,-0.0889425128698349,0.1701409965753555,-0.0456046275794506,m2_S004
incline_10deg,lv0,0.0199089627712965,0.029737364500761,0.9486971358121304,-0.0027453613001853,0.0296103674918413,-0.0035175823140889,0.0187039077281951,-0.0447451993823051,0.1539674699306488,-0.0424329228699207,m2_S004
level_075mps,lv0,0.0179282426834106,0.0249186940491199,0.9570401416869212,-0.0116461128927767,0.0219370201230049,-0.0119271539151668,0.017211552709341,-0.0512043964117765,0.1504948437213897,-0.0396196637302637,m2_S004
level_100mps,lv0,0.0210562385618686,0.0289324279874563,0.976045392967783,-0.0057149729691445,0.0283623784780502,-0.0061588864773511,0.0200862661004066,-0.0399643741548061,0.0796090513467788,-0.0512958280742168,m2_S004
level_125mps,lv0,0.028012927621603,0.0367878414690494,0.9789757163770496,0.0198651999235153,0.0309631880372762,0.0204070191830396,0.0268320795148611,-0.0815594941377639,0.0695592835545539,-0.0259925127029418,m2_S004
stopandgo,lv0,0.0281809186562895,0.0419538076967,0.991721334682087,-0.0093620289117097,0.0408844891935586,-0.0091146999038755,0.0214942283928394,-0.0411935094743967,0.0188907897099852,-0.079378068447113,m2_S004
accel_sine,lv0,0.0449304990470409,0.0564116537570953,0.969780280888733,-0.0276158526539802,0.0491898283362388,-0.0291228778660297,0.0441476553678512,0.0221126545220613,0.142823114991188,-0.1036151573061943,m2_S005
decline_5deg,lv0,0.0188510622829198,0.0273909959942102,0.951351073296641,-0.0081619210541248,0.0261466950178146,-0.0089810825884342,0.0176636166870594,-0.0474249348044395,0.1649368554353714,-0.043915819376707,m2_S005
incline_10deg,lv0,0.0188455916941165,0.0272898208349943,0.956794601733764,-0.0015375261427834,0.0272464752197265,-0.0019875734578818,0.017808748409152,-0.0549034215509891,0.1200367659330368,-0.0415405295789241,m2_S005
level_075mps,lv0,0.0241327174007892,0.0300283888354897,0.9368889313073652,-0.0194790065288543,0.0226639276370406,-0.019841194152832,0.0235590012744069,-0.0416245125234127,0.1333266347646713,-0.0502979159355163,m2_S005
level_100mps,lv0,0.0203572642058134,0.0279364641755819,0.9776662216980724,-0.008300139568746,0.0266749653965234,-0.0085569499060511,0.0194404814392328,-0.0377364642918109,0.0506837032735347,-0.0518718808889389,m2_S005
level_125mps,lv0,0.0193181727081537,0.0271099768579006,0.9885825040076116,-0.0046168020926415,0.026713965460658,-0.0042610131204128,0.0182133000344038,-0.043731715530157,9.490063530392943e-05,-0.0450934395194053,m2_S005
