feature,importance,fold
Robot_R_Hip_angle_Linvel,0.0362727472652217,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
Robot_L_Hip_angle_Linvel,0.0304561456219235,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
Robot_R_Hip_angle,0.0301299020734582,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
Robot_L_Hip_angle,0.0285054797999298,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_acc_up,0.0106598737223738,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_summary_2d_og_acc_h_mag,0.0020897181054118,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_gyro_hy,0.0019656862129131,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_roll_cf,0.0016718772016122,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_gyro_up,0.0016618207950375,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_pitch_cf,0.0016285423662082,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
Robot_cadence_mean,0.0013253454025366,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_acc_hy,0.0004677448635437,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
Robot_speed_anchor_geom,0.000444631334051,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_summary_2d_og_vel_h_mag,0.0003071776513241,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_gyro_hx,9.973089599130124e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_velocity_2d_og_vel_hx,7.10523654542973e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_velocity_2d_og_vel_hy,-1.0438586337183434e-05,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
tilt_tvcf_imu_2d_og_acc_hx,-0.0004989355303334,exp_NA_A9_D6_tvcf_roll18_og_screen_noassist_Test-m2_S008_seed42
