subject,condition,height_mm,weight_kg,n_samples,speed_mean,speed_std,accel_x_std,accel_y_std,accel_z_std,gyro_x_std,gyro_y_std,gyro_z_std,hip_angle_std,thigh_angle_std,hip_speed_corr,thigh_speed_corr
S004,incline_10deg,1680.0,76.0,19094,0.7096526622772217,0.167575404047966,2.029247522354126,2.0812580585479736,1.221366047859192,0.4251194894313812,0.2073928564786911,0.22884021699428558,20.866918563842773,20.453161239624023,0.06683813116174912,0.15494650776392468
S004,stopandgo,1680.0,76.0,38345,0.4743213355541229,0.43145662546157837,0.995462954044342,1.0874779224395752,0.6071193218231201,0.23828448355197906,0.16562236845493317,0.18465809524059296,12.890807151794434,12.445652961730957,0.5195553721252891,0.6320287232903273
S005,level_075mps,1710.0,56.0,18811,0.7235977649688721,0.1398186832666397,1.5314935445785522,1.572188377380371,0.5497364401817322,0.2143552154302597,0.15228192508220673,0.19839054346084595,13.858891487121582,13.734505653381348,0.17898605345178822,0.20203032559499998
S005,level_100mps,1710.0,56.0,18731,0.9622951149940491,0.18556568026542664,1.865317463874817,1.794573187828064,0.5407023429870605,0.26146358251571655,0.1837186962366104,0.22074685990810394,14.841232299804688,14.673930168151855,0.1781432469927877,0.21036182926315572
S005,level_125mps,1710.0,56.0,18809,1.1991640329360962,0.2390240877866745,2.2090556621551514,2.951103448867798,1.0121315717697144,0.468721866607666,0.1753207892179489,0.3221037685871124,16.580554962158203,16.256044387817383,0.2528706483477887,0.298671852461171
S005,accel_sine,1710.0,56.0,19088,0.9553672075271606,0.349560022354126,1.9221727848052979,2.440747022628784,0.8443651795387268,0.3635910451412201,0.18941889703273773,0.28016000986099243,15.600975036621094,15.46606159210205,0.24423617600875727,0.31956474300627796
S005,decline_5deg,1710.0,56.0,18942,0.7125767469406128,0.16128046810626984,2.0287020206451416,1.9571144580841064,0.8740773797035217,0.3776225447654724,0.12695522606372833,0.261252760887146,11.266404151916504,11.4663667678833,0.21848062994644513,0.21605585930085877
S005,incline_10deg,1710.0,56.0,18844,0.7054616212844849,0.1538425236940384,1.6262825727462769,1.7769612073898315,0.8263978958129883,0.22804273664951324,0.1841050535440445,0.24581870436668396,18.6712703704834,18.251815795898438,0.26642224264065606,0.22352729214293865
S005,stopandgo,1710.0,56.0,38002,0.47891631722450256,0.4539913833141327,1.0827178955078125,1.2853002548217773,0.546467661857605,0.19744913280010223,0.12672048807144165,0.16336128115653992,12.521607398986816,12.14027214050293,0.6091314758232736,0.627211314099966
S006,level_100mps,1800.0,77.0,19097,0.9515193104743958,0.21143889427185059,1.7042635679244995,1.859929084777832,0.7952075600624084,0.2952094078063965,0.16375760734081268,0.26810720562934875,13.986096382141113,14.282455444335938,0.07136090886832842,0.08609903144185473
S006,level_125mps,1800.0,77.0,19096,1.1887341737747192,0.26053088903427124,2.2364327907562256,2.4644505977630615,1.012300968170166,0.41180434823036194,0.1876089721918106,0.339346319437027,15.272268295288086,15.566388130187988,0.10865981055342108,0.10464877622203911
S006,accel_sine,1800.0,77.0,19371,0.9526694416999817,0.34399309754371643,1.937732219696045,2.126187324523926,0.8037102818489075,0.3319584131240845,0.18011727929115295,0.27238717675209045,14.268611907958984,14.250778198242188,0.09268035338740714,0.11280247063075492
S006,decline_5deg,1800.0,77.0,19121,0.7156420946121216,0.16711895167827606,1.6487164497375488,1.5846377611160278,0.6333063244819641,0.30241745710372925,0.1541059911251068,0.2641511857509613,12.993300437927246,13.025721549987793,0.04686466576679254,0.020470547635820194
S006,incline_10deg,1800.0,77.0,18874,0.7097252011299133,0.17436185479164124,1.392789363861084,1.5279675722122192,0.9454487562179565,0.2675286531448364,0.11275392025709152,0.2562353312969208,21.326505661010742,21.08595848083496,0.10615595975258327,0.10497987576126913
S006,stopandgo,1800.0,77.0,41644,0.4847055673599243,0.42513880133628845,1.114984393119812,1.176396369934082,0.6462485790252686,0.20565424859523773,0.1354491263628006,0.17861050367355347,12.84761905670166,12.721457481384277,0.44471828303298594,0.47930980642590837
