experiment_dir,test_mae,test_rmse,test_r2,host_latency_ms,host_max_freq_hz,model_size_mb,n_params
archive_season2/archive_3/exp_S2A3_repr_gravity6_quat_Test-m2_S008_seed42,2.2348716259002686,2.829833745956421,,7.1084,140.68,0.8525,223490
archive_season2/archive_5/exp_S2A5_feat_quat_compliance_Test-m2_S008_seed42,2.2410335540771484,2.7943456172943115,,2.1809,458.53,0.8562,224460
archive_season2/archive_2/exp_S2A2_model_bodyframe_mech_kin_small_Test-m2_S008_seed42,2.2488999366760254,2.8270416259765625,,1.8227,548.64,0.4851,127168
archive_season2/archive_8/exp_S2A8F_ctrl_teacher_kinpower_Test-m2_S008_seed42,2.2542734146118164,2.837425947189331,,2.3223,430.61,0.8548,224072
archive_season2/archive_6/exp_S2A6_ultratiny_loadgate_kinpower_w75_Test-m2_S008_seed42,2.2589945793151855,2.8643453121185303,,2.197,455.17,0.0291,7641
archive_season1/archive_5/exp_A5_residual_Test-m2_S008_seed42,2.261364221572876,2.8443799018859863,,1.7992,555.8,0.8503,222908
archive_season2/archive_2/exp_S2A2_model_bodyframe_gated_Test-m2_S008_seed42,2.264106273651123,2.8351731300354004,,2.1918,456.25,0.8572,224715
archive_season2/archive_6/exp_S2A6F_tiny_loadgate_kinpower_w100_smooth_Test-m2_S002_seed42,2.2654688358306885,2.9297752380371094,,2.6255,380.87,0.09,23597
archive_season1/archive_4/exp_A4_quat_dropout_015_Test-m2_S008_seed42,2.274665594100952,2.8480467796325684,,1.7366,575.85,0.8503,222908
archive_season1/archive_5/exp_A5_mech_power_Test-m2_S008_seed42,2.275461196899414,2.878926992416382,,1.7518,570.83,0.8518,223296
archive_season2/archive_2/exp_S2A2_ctrl_hybrid_bodyframe_quat_Test-m2_S008_seed42,2.2977070808410645,2.8828375339508057,,2.2263,449.18,0.8533,223684
archive_season2/archive_6/exp_S2A6F_tiny_loadgate_kinpower_w100_smooth_Test-m2_S001_seed42,2.3053534030914307,2.929326057434082,,3.5393,282.54,0.09,23597
archive_season2/archive_8/exp_S2A8F_ctrl_teacher_kinpower_Test-m2_S001_seed42,2.3068935871124268,2.8899192810058594,,2.3909,418.26,0.8548,224072
archive_season2/archive_2/exp_S2A2_feat_bodyframe_mech_kin_Test-m2_S008_seed42,2.3092286586761475,2.891751289367676,,2.1909,456.43,0.8548,224072
