group,mae,rmse,r2,lag_ms,mae_delta,mae_pct_change
exp_C2_seq_output_10,0.01939853911721644,0.04550786313332717,0.9844483328551746,0.5,-0.0018197790645168507,-8.57645289758868
exp_G1_combo,0.01952860912676709,0.04654549389552881,0.9837310564654302,0.0,-0.0016897090549662028,-7.963444795642956
exp_D2_multiscale_tcn,0.019663115963339806,0.045462466776371,0.9844678044319153,0.0,-0.001555202218393486,-7.329526332262984
exp_D5_cop_stride,0.01991855539381504,0.040094468742609024,0.9879192113876343,4.0,-0.001299762787918251,-6.1256635742092325
exp_A2_smooth_loss_strong,0.02041679528451271,0.038534277268802826,0.9888493931971113,0.0,-0.0008015228972205815,-3.7775043731345646
exp_C1_multistep_ensemble,0.020768877896582636,0.04233849336750691,0.9865390762336903,-1.0,-0.00044944028515065543,-2.1181711071595464
exp_C1_freq_loss,0.02077285572886467,0.048883482813835144,0.9820423126220703,5.0,-0.0004454624528686217,-2.0994239461076485
baseline,0.02121831818173329,0.059179154535134636,0.9677239259084066,-4.4523809523809526,0.0,0.0
exp_D3_full_combo,0.02169724367558956,0.04618045315146446,0.9839733242988586,-2.5,0.00047892549385626995,2.257132208850434
exp_C3_deep_tcn_k7,0.021861979737877846,0.045498076826334,0.9844434857368469,1.5,0.0006436615561445543,3.033518258288153
exp_F3_global_full_additive,0.021968310698866844,0.042813897132873535,0.986224889755249,0.0,0.0007499925171335527,3.534646387663355
exp_B2_trunk_pitch_vel,0.02216203697025776,0.05357354134321213,0.9784311652183533,0.5,0.0009437187885244676,4.447660650771599
exp_D2_input_lpf_15,0.02234039269387722,0.05109433829784393,0.9803812503814697,1.0,0.0011220745121439286,5.288234922925772
exp_E1_strong_reg,0.025142153725028038,0.05188655108213425,0.9797681570053101,-1.0,0.0039238355432947465,18.492679342855507
exp_G3_no_grf_enhanced,0.028524335473775864,0.06329522281885147,0.9698929190635681,0.0,0.007306017292042572,34.43259371203262
exp_B2_gru_64,0.029882175847887993,0.050715722143650055,0.9806709289550781,-0.5,0.008663857666154701,40.831971657458496
exp_G2_no_mocap_exo_angles,0.030291618779301643,0.067275770008564,0.9659870862960815,0.0,0.009073300597568352,42.76163888134874
exp_H1_stride_frequency,0.040902506560087204,0.08303926140069962,0.9481804966926575,0.5,0.019684188378353912,92.76978603940391
exp_G1_no_mocap_enhanced,0.060414597392082214,0.10318809002637863,0.919982373714447,0.5,0.03919627921034892,184.72849202578521
exp_ar_feedback_sched,0.11658889257628115,0.18060256332310018,0.7548825334033317,97.0,0.09537057439454785,449.4728261575969
exp_ar_feedback_k1,0.11658889257628115,0.18060256332310018,0.7548825334033317,97.0,0.09537057439454785,449.4728261575969
exp_tcn_gru_head_h32_smooth,0.12204418331384659,0.17587196826934814,0.7675552368164062,117.5,0.1008258651321133,475.183114272052
exp_tcn_gru_head_h32,0.12204418331384659,0.17587196826934814,0.7675552368164062,117.5,0.1008258651321133,475.183114272052
exp_single_ema_a080,0.1299380511045456,0.18463106453418732,0.7438254356384277,150.5,0.1087197329228123,512.3861938144013
exp_single_ema_a090,0.12997783720493317,0.18470777571201324,0.74361252784729,151.5,0.10875951902319987,512.573702079886
exp_single_ema_a095,0.12999595701694489,0.18474486470222473,0.7435095906257629,152.0,0.10877763883521159,512.6590991026684
exp_multistep_H10_overlap_median,0.13771563569244893,0.1792225369347466,0.7587933333373514,108.5,0.11649731751071564,549.0412412186721
exp_multistep_H10_overlap_mean,0.1378881647274837,0.17927686413455574,0.7586470786408133,109.0,0.1166698465457504,549.8543548385031
exp_multistep_H10_overlap_wmean,0.13849871655028276,0.179860131014242,0.7570740684848244,115.5,0.11728039836854946,552.7318299407696
exp_multistep_H10_ema_a090,0.13968594372272491,0.1811831295490265,0.7530772686004639,123.0,0.11846762554099162,558.327123414426
exp_multistep_H10_smooth_lam05,0.13974925875663757,0.1812715232372284,0.7528363466262817,123.5,0.11853094057490428,558.6255213994611
exp_multistep_H10,0.13974925875663757,0.1812715232372284,0.7528363466262817,123.5,0.11853094057490428,558.6255213994611
exp_multistep_H10_smooth_lam001,0.13974925875663757,0.1812715232372284,0.7528363466262817,123.5,0.11853094057490428,558.6255213994611
exp_multistep_H10_smooth_lam01,0.13974925875663757,0.1812715232372284,0.7528363466262817,123.5,0.11853094057490428,558.6255213994611
exp_multistep_H20,0.15187381207942963,0.20062105357646942,0.696692168712616,181.5,0.13065549389769635,615.7674363191367
exp_multistep_H05,0.16665488481521606,0.21827282011508942,0.6419665217399597,166.0,0.14543656663348278,685.4292851480009
exp_tcn_gru_head_h64,0.17818884551525116,0.2365352213382721,0.5795463919639587,167.0,0.15697052733351788,739.787790856359
Exp_IMU_Orientation,0.21437734365463257,0.30750608444213867,0.2893858551979065,-9031.0,0.1931590254728993,910.3408847888264
