feature,subject,q01,q99,range_width,dominant_freq_hz,periodicity_score,autocorr_similarity,trace_similarity,range_width_z,dominant_freq_z,periodicity_z,autocorr_similarity_z,trace_similarity_z
deflection_right,S001,-2.4609999999999985,-0.8130000000000005,1.647999999999998,0.8408159028390512,0.8762460313885941,0.9843441040773951,0.2339445246357769,-0.054018929544896586,-0.6876434666038118,-0.43972303646261945,0.41747045557129664,0.3922816307416845
asymmetry_hip_diff,S001,-38.8037,43.044399999999996,81.84809999999999,0.8408159028390512,0.9732405418288579,0.9945453179211415,0.2918084346738854,0.04280579763968407,-0.22621420221954708,-0.37757512483450734,0.5599934701348336,-0.27937833891136576
asymmetry_torque_diff,S001,-0.0622,0.06107800000000024,0.12327800000000025,0.8408159028390512,0.10273156374357582,0.9931260806656583,0.30606520157682077,-0.498240439947136,-0.5021300040998494,-0.13176355715886162,0.7063162213368704,-0.5103274350133609
asymmetry_thigh_diff,S001,-38.8257,43.0664,81.8921,0.8408159028390512,0.9732612548730812,0.9945458595638479,0.2917533659414517,0.043384991430944084,-0.22621420221954708,-0.37966717723066173,0.5599870009282677,-0.28014984474871
mech_power_left,S001,-5.90760792,5.9175914600000015,11.82519938,4.603726579124928,0.09100005846153057,0.9930669289792465,0.3016048009185105,0.048850540822707206,0.723682148719317,0.430648995510839,0.3810091320798345,0.9220031322608843
mech_power_right,S001,-5.149140460000002,5.177214,10.326354460000001,3.352883168111278,0.08746262583864495,0.9936723539218996,0.24878890433356807,0.11042951495306935,0.6727440926669257,-0.8146262758678914,3.331246081609219,0.027243458756420636
global_accel_x_overground,S001,-3.0147412424752575,2.4624476912576916,5.477188933732949,0.8408159028390512,0.3347303711892357,0.9539137266517909,0.3218893564284976,-0.4496864984605137,-0.7074964152975955,-0.5548912987033549,0.5910730018958034,0.5901157358954816
global_accel_y_overground,S001,-2.7235999295988806,3.5361650826008146,6.259765012199695,0.8408159028390512,0.49750201866138133,0.941778859891247,0.2853957053845354,-0.6864398240600306,-0.22621420221954708,0.6125323587547162,0.5374106524802704,-0.801580680846048
a_tread,S001,-0.6355881730656446,0.6247499999999971,1.2603381730656418,3.3788342762235946,0.23561191548450178,0.9857058076759397,0.3754735825504972,0.19765894481961685,-0.04808023653979609,-0.6020985738213326,0.963991455432592,1.441541980513475
euler_roll,S002,-32.96020974430216,75.18597514004162,108.14618488434378,0.8007903905153138,0.6892412989966386,0.8130073595069417,0.27733675902131755,8.40989033900511,-1.6141232004860617,-0.9569404775496347,-5.107899474164205,0.05484287802260193
euler_pitch,S002,-87.4394602384431,-77.06243017584175,10.37703006260135,1.5963808434298787,0.211043929465878,0.9620898530027397,0.9025508925043394,2.078863850039064,-0.5860076389477958,0.3934213959527196,-1.7934024085899773,-0.6701389224457589
euler_yaw,S002,-0.6811952522089871,8.279715694610395,8.960910946819382,0.8007903905153138,0.40642096817064427,0.579360024401771,0.863508306440698,-1.430400660366367,-1.6141232004860617,-2.4001806709057,-7.530733640436168,-2.3044851688294585
left_hip_angle,S002,-16.5608,28.5425,45.103300000000004,0.8007903905153138,0.9351655055128314,0.8261177246941481,0.2562880813147542,-0.38563658861585665,-1.6141232004860617,2.0509357082905684,-3.5851421628838005,-1.1826984420101763
right_hip_angle,S002,-14.0405,30.52,44.5605,0.8007903905153138,0.9091015197649328,0.8238655703915205,0.2668817760309662,-1.0144144056399247,-1.6141232004860617,0.9237338886884033,-3.574831460721966,-0.8433611925427306
left_torque,S002,-0.0513,0.0513,0.1026,1.8927772866725598,0.08857527008646013,0.9919939698047896,0.3434831900298202,0.6013613733299551,0.05124639497958939,-0.7699241426994882,-0.17300111301737509,1.675095490442749
right_torque,S002,-0.0385,0.0385,0.077,2.2827726067287193,0.09085336617916237,0.9920417612245969,0.30409616916113397,-0.22483325006175808,0.18887640595875507,-0.7906942360707925,-1.9980204729405064,-0.07434028319842421
left_thigh_angle,S002,-15.9521,27.591100000000015,43.54320000000001,0.8007903905153138,0.9333513396305357,0.8256472985357807,0.25115544671365125,-0.9874889553763784,-1.6141232004860617,3.3560016170624887,-3.5709702563349386,-0.8890018374220533
right_thigh_angle,S002,-14.1724,29.9268,44.099199999999996,0.8007903905153138,0.8994197308667334,0.8230123957467707,0.26031673148917267,-1.387179393098497,-1.6141232004860617,0.36932943095659937,-3.513524650608589,-0.827714221674663
deflection_left,S002,6.3501,10.188730000000016,3.8386300000000153,1.5963808434298787,0.684852331192251,0.2993088181099262,0.03781852079737435,5.271093482813674,20.757913222405275,-9.929495051292635,-18.96679472118503,-0.7278842341078405
deflection_right,S002,5.3613,9.199930000000016,3.838630000000016,1.5963808434298787,0.6766130393879803,0.30400468049218965,0.09375783313624776,5.324866871769747,20.757913222405275,-9.49638230052187,-18.877079330492187,-0.6738732134849045
asymmetry_hip_diff,S002,-43.8574,40.84717,84.70456999999999,0.8007903905153138,0.968405851892656,0.8279568766353351,0.2537803145099985,0.7847114877303152,-1.6141232004860617,-1.3203086252464962,-3.6143474891613985,-0.7956808112036349
asymmetry_torque_diff,S002,-0.0641,0.0659,0.13,0.597992824086111,0.09267150733986705,0.9907253646377499,0.32213716315699986,0.4982404399471401,-5.053707400656685,-1.2802999018652144,-2.3910031581661375,0.8386723971166719
asymmetry_thigh_diff,S002,-43.879400000000004,40.869170000000004,84.74857,0.8007903905153138,0.9684263982698393,0.8279585327035552,0.2537581306085036,0.785290681521571,-1.6141232004860617,-1.3230236060899316,-3.614665956768045,-0.7961376018016442
mech_power_left,S002,-5.405492400000003,5.824750400000007,11.23024280000001,3.203161562061255,0.09869812599391324,0.9927763505718877,0.3273142942977096,-0.24727115597697852,0.09985455810358496,2.028236562892699,-0.2500202528575124,1.5922650516028567
mech_power_right,S002,-4.622816099999999,4.27109200000001,8.893908100000008,2.3763714835421976,0.0909659995987891,0.9918092414133797,0.2575626535126235,-1.0308713484383223,-0.5273184582265782,-0.6229655848437169,-0.6483902682278883,3.6447323139479795
global_accel_x_overground,S002,-2.6563332689302324,3.052667529220485,5.709000798150717,0.8007903905153138,0.25293742303045186,0.6118322160361066,0.3137221882183495,0.15681929497219108,-0.7663333066083917,-1.3357651895087617,-1.681245139250437,0.19314138235260678
global_accel_y_overground,S002,-3.280462802000934,3.402229644656836,6.68269244665777,0.8007903905153138,0.4083526472732862,0.6751081740131191,0.2687846830714445,-0.2756685505245787,-1.6141232004860617,-0.6553727987805393,-1.4524179605965957,-1.8057913530168581
a_tread,S002,-0.553350000000008,0.5533500000000017,1.1067000000000098,3.2239613124642506,0.3590186082004035,0.9762975363393843,0.3617052843876868,-1.2537268574406282,-1.2505132881532708,0.28095496221749194,0.3850084214878299,0.8735850418682555
euler_roll,S003,-19.94042763562183,48.38224275941663,68.32267039503846,0.8443129873621941,0.805072399539552,0.9761235306020778,0.2663798780540499,-0.31963737944344894,-0.10495066814880107,0.39205949915783034,0.2065605905767658,-0.08873597173522939
euler_pitch,S003,-83.82934319898891,-76.23827515094855,7.591068048040356,0.8443129873621941,0.24150628182147993,0.9668086095820589,0.8845817873795373,0.11761714210793918,-5.112562655443818,1.099101480417548,-1.4441331081170528,-1.9883658167032028
euler_yaw,S003,-2.2253852650219743,10.77254161558114,12.997926880603114,0.8443129873621941,0.6782421391561564,0.9195780804317026,0.9267075636375194,-0.9005744456307826,-0.10495066814880107,0.21317905601962434,-0.08936999757185528,-0.6153501696817423
left_hip_angle,S003,-18.3472,33.6182,51.9654,0.8443129873621941,0.9307785765468325,0.9803396655235123,0.23494498309814213,5.015479514539376,-0.10495066814880107,1.7836980435994731,0.22363831752116325,-1.4459926936345733
