Feature,Subject,Mean,Std
robot/back_imu/gyro_y,m2_S003,0.00013457289500777193,0.22431110504738586
robot/back_imu/gyro_y,m2_S004,0.0011651386968673453,0.22578961575027306
robot/back_imu/gyro_y,m2_S005,0.001403731873360037,0.18910816906274372
robot/back_imu/gyro_y,m2_S006,0.0022197332409399414,0.1552149562232809
robot/back_imu/gyro_y,m2_S007,0.004381121149726935,0.17481008794074
robot/back_imu/gyro_y,m2_S008,0.0024606029991352824,0.1929464827873979
robot/back_imu/gyro_z,m1_S004,0.0013847015798091888,0.2147754430770874
robot/back_imu/gyro_z,m1_S005,-0.0011656603310257196,0.19221729040145874
robot/back_imu/gyro_z,m1_S006,-0.0005955736269243062,0.2113938182592392
robot/back_imu/gyro_z,m1_S007,0.003231312381103635,0.16638612747192383
