archive,channels,config_path,distill_weight,exp_name,experiment_dir,gru_hidden,host_latency_ms,input_groups,input_lpf,kernel_size,lag_ms,model_type,n_input_channels,n_input_groups,n_params,output_vars,prior_loss_weight,residual_skip,season,seed,smoothness,target_transform,test_mae,test_r2,test_rmse,test_subject,window,y_delay
archive_season1,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/baseline.yaml,,baseline,baseline_Test-m2_S003_seed42,32,2.4317,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409025,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.029045306146144867,,0.09602910280227661,m2_S003,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G051_bf_full_w150_base_pglpf.yaml,,exp_S3A1_G051_bf_full_w150_base_pglpf,exp_S3A1_G051_bf_full_w150_base_pglpf_Test-m2_S008_seed42,32,2.4546,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,37,9,409601,common/v_Y_true,,False,archive_season3,42,,,0.029243528842926025,,0.041628770530223846,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G011_raw_full_w200_compact_glpf8.yaml,,exp_S3A1_G011_raw_full_w200_compact_glpf8,exp_S3A1_G011_raw_full_w200_compact_glpf8_Test-m2_S008_seed42,24,2.6059,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,8.0,5,,TCN_GRU,34,9,143153,common/v_Y_true,,False,archive_season3,42,,,0.02926618605852127,,0.042789459228515625,m2_S008,,5
archive_6,"[32, 32, 64, 64, 128, 128]",configs/archive_season2/archive_6/exp_S2A6_A3_fusion_imuint_softprior.yaml,,exp_S2A6_A3_fusion_imuint_softprior,exp_S2A6_A3_fusion_imuint_softprior_Test-m2_S008_seed42,32,4.3129,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,FusionTCN_GRU,38,10,409892,treadmill/left/speed_leftbelt,0.005,False,archive_season2,42,,,0.029447417706251144,,0.06183561682701111,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G139_fusionimu_lite_w150_base_none.yaml,,exp_S3A1_G139_fusionimu_lite_w150_base_none,exp_S3A1_G139_fusionimu_lite_w150_base_none_Test-m2_S008_seed42,32,2.6598,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,FusionTCN_GRU,28,6,407972,common/v_Y_true,,False,archive_season3,42,,,0.029485294595360756,,0.04244835302233696,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G085_imuint_full_w150_base_none.yaml,,exp_S3A1_G085_imuint_full_w150_base_none,exp_S3A1_G085_imuint_full_w150_base_none_Test-m2_S008_seed42,32,2.472,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,common/v_Y_true,,False,archive_season3,42,,,0.029587432742118835,,0.0418950654566288,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G075_imuint_full_w300_base_pglpf.yaml,,exp_S3A1_G075_imuint_full_w300_base_pglpf,exp_S3A1_G075_imuint_full_w300_base_pglpf_Test-m2_S008_seed42,32,2.4706,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,common/v_Y_true,,False,archive_season3,42,,,0.029605543240904808,,0.04403148964047432,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G127_fusionimu_lite_w300_base_none.yaml,,exp_S3A1_G127_fusionimu_lite_w300_base_none,exp_S3A1_G127_fusionimu_lite_w300_base_none_Test-m2_S008_seed42,32,2.7637,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,,5,,FusionTCN_GRU,28,6,407972,common/v_Y_true,,False,archive_season3,42,,,0.029678912833333015,,0.04283352941274643,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G143_fusionimu_lite_w150_compact_glpf8.yaml,,exp_S3A1_G143_fusionimu_lite_w150_compact_glpf8,exp_S3A1_G143_fusionimu_lite_w150_compact_glpf8_Test-m2_S008_seed42,24,2.5976,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,8.0,5,,FusionTCN_GRU,28,6,142364,common/v_Y_true,,False,archive_season3,42,,,0.02971179224550724,,0.043138742446899414,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G147_dual_full_w300_base_pglpf.yaml,,exp_S3A1_G147_dual_full_w300_base_pglpf,exp_S3A1_G147_dual_full_w300_base_pglpf_Test-m2_S008_seed42,32,2.6016,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/model_com_speed:1|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,FusionTCN_GRU,39,11,410117,common/v_Y_true,,False,archive_season3,42,,,0.029780056327581406,,0.04286292940378189,m2_S008,,5
