Feature,Subject,Mean,Std
mocap/kin_q/ankle_angle_l_dot,m2_S004,-0.006116785634396784,73.49960063369896
mocap/kin_q/ankle_angle_l_dot,m2_S005,0.0028223867847532915,71.43203588120198
mocap/kin_q/ankle_angle_l_dot,m2_S006,0.0010782831065129163,77.98165537200501
mocap/kin_q/ankle_angle_l_dot,m2_S007,-0.005114310900311706,73.11585055221346
mocap/kin_q/ankle_angle_l_dot,m2_S008,0.004123831270613085,70.85431144991087
mocap/kin_q/ankle_angle_r,m2_S001,8.168311837207716,7.522852386288156
mocap/kin_q/ankle_angle_r,m2_S002,9.446566100190742,7.974010579939566
mocap/kin_q/ankle_angle_r,m2_S003,6.563409625137068,7.731017346192394
mocap/kin_q/ankle_angle_r,m2_S004,12.796338412821116,7.721630189798183
mocap/kin_q/ankle_angle_r,m2_S005,8.311565806858766,8.039726772809471
mocap/kin_q/ankle_angle_r,m2_S006,3.932213173019894,9.16038300360403
mocap/kin_q/ankle_angle_r,m2_S007,7.060027262507302,8.174808895164233
mocap/kin_q/ankle_angle_r,m2_S008,12.856273925259167,8.795191910981309
mocap/kin_q/ankle_angle_r_ddot,m2_S001,0.012224372529291707,1287.484684174794
mocap/kin_q/ankle_angle_r_ddot,m2_S002,-0.004291538713973811,1243.4749077468618
mocap/kin_q/ankle_angle_r_ddot,m2_S003,-0.0425655347265677,1660.9629757529829
mocap/kin_q/ankle_angle_r_ddot,m2_S004,-0.052236005296046696,1357.094481201507
mocap/kin_q/ankle_angle_r_ddot,m2_S005,-0.010562906334783859,1762.4679772913169
mocap/kin_q/ankle_angle_r_ddot,m2_S006,0.010101752520002836,1330.0896139819004
mocap/kin_q/ankle_angle_r_ddot,m2_S007,0.020537215200377504,1648.5634264359503
mocap/kin_q/ankle_angle_r_ddot,m2_S008,-0.005579047659397178,1417.5864461777387
mocap/kin_q/ankle_angle_r_dot,m2_S001,0.0008632744586273909,69.02594700201301
mocap/kin_q/ankle_angle_r_dot,m2_S002,-0.004297503734893121,67.32497705747886
mocap/kin_q/ankle_angle_r_dot,m2_S003,0.006933599804186781,77.86000648113658
mocap/kin_q/ankle_angle_r_dot,m2_S004,-0.006509710645736557,70.35724019880544
mocap/kin_q/ankle_angle_r_dot,m2_S005,-0.0021834970682614247,79.37626566038728
mocap/kin_q/ankle_angle_r_dot,m2_S006,0.011432630413003856,78.39111158862534
mocap/kin_q/ankle_angle_r_dot,m2_S007,-0.0052661338149794295,77.23639641154014
mocap/kin_q/ankle_angle_r_dot,m2_S008,-0.003862202256521213,78.17895645722415
mocap/kin_q/hip_flexion_l,m2_S001,5.7018070738611355,15.741372127925342
mocap/kin_q/hip_flexion_l,m2_S002,6.706383381933081,14.772304044154566
mocap/kin_q/hip_flexion_l,m2_S003,3.2485000948556113,18.086767622057234
mocap/kin_q/hip_flexion_l,m2_S004,13.879816672641562,17.399514244958723
mocap/kin_q/hip_flexion_l,m2_S005,5.274208651590714,17.601745412090146
mocap/kin_q/hip_flexion_l,m2_S006,-3.2472465299953,19.12841437811222
mocap/kin_q/hip_flexion_l,m2_S007,0.2387998787607295,24.585509634875905
mocap/kin_q/hip_flexion_l,m2_S008,-1.5298484297180583,18.970113464448225
mocap/kin_q/hip_flexion_l_ddot,m2_S001,-0.013006737176917103,872.1629576800487
mocap/kin_q/hip_flexion_l_ddot,m2_S002,-0.0018507684644180793,814.6711610045452
mocap/kin_q/hip_flexion_l_ddot,m2_S003,0.10831158073763106,1394.5158695751186
mocap/kin_q/hip_flexion_l_ddot,m2_S004,-0.10374196702449986,1016.9622299615061
mocap/kin_q/hip_flexion_l_ddot,m2_S005,0.051557457270433184,1101.1494557775256
mocap/kin_q/hip_flexion_l_ddot,m2_S006,0.01124169433096773,1589.8456573493593
mocap/kin_q/hip_flexion_l_ddot,m2_S007,0.07396076138031599,7066.44055677882
mocap/kin_q/hip_flexion_l_ddot,m2_S008,0.010136797004340782,1067.2812331442965
mocap/kin_q/hip_flexion_l_dot,m2_S001,-0.005619903999380064,78.40970232617649
mocap/kin_q/hip_flexion_l_dot,m2_S002,0.029382438992113298,70.71512875530853
mocap/kin_q/hip_flexion_l_dot,m2_S003,-0.0013462756752528177,94.18701679247184
mocap/kin_q/hip_flexion_l_dot,m2_S004,0.02253924073399017,91.31995324497272
mocap/kin_q/hip_flexion_l_dot,m2_S005,0.014270022463663195,94.0874371631206
