time_s,pc_time_s,seq_id,module_id,tx_drops,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MotorAngle_L,MotorAngle_R,MotorTorque_L,MotorTorque_R
0.139000,0.153225,57340,16,0,0.011971,9.837775,0.050278,-1.159668,-0.091553,-0.335693,-25.400391,13.227539,0.014648,-0.018311
0.140000,0.153232,57341,16,0,-0.038307,9.837775,-0.033519,-1.342773,-0.091553,-0.396729,-25.400391,13.227539,-0.010986,0.018311
0.141000,0.153240,57342,16,0,-0.014365,9.797073,-0.040701,-1.190186,0.000000,-0.305176,-25.400391,13.227539,0.000000,0.012817
0.142000,0.153248,57343,16,0,0.043096,9.773131,0.004788,-1.251221,0.030518,-0.274658,-25.400391,13.227539,0.005493,-0.010986
0.143000,0.179144,57344,16,0,0.069432,9.811439,-0.016759,-1.342773,-0.122070,-0.305176,-25.400391,13.227539,0.018311,0.010986
0.144000,0.179180,57345,16,0,0.050278,9.797073,-0.021548,-1.251221,-0.183105,-0.274658,-25.400391,13.227539,0.023804,0.014648
0.145000,0.179190,57346,16,0,0.004788,9.763555,-0.019154,-1.373291,0.000000,-0.213623,-25.400391,13.227539,-0.020142,-0.005493
0.146000,0.179200,57347,16,0,-0.004788,9.816227,-0.050278,-1.495361,0.000000,-0.244141,-25.400391,13.227539,-0.005493,0.001831
0.147000,0.179208,57348,16,0,0.026336,9.832987,0.000000,-1.342773,-0.030518,-0.488281,-25.400391,13.227539,0.007324,-0.014648
0.148000,0.179217,57349,16,0,0.002394,9.749189,0.105345,-1.220703,-0.122070,-0.396729,-25.400391,13.227539,-0.016479,-0.009155
0.149000,0.179225,57350,16,0,-0.062249,9.696517,0.033519,-1.312256,0.000000,-0.244141,-25.400391,13.227539,-0.003662,-0.012817
0.150000,0.179233,57351,16,0,-0.026336,9.828198,-0.136469,-1.281738,0.000000,-0.122070,-25.400391,13.227539,-0.010986,0.007324
0.151000,0.179241,57352,16,0,0.043096,9.847352,-0.026336,-1.281738,0.000000,-0.244141,-25.400391,13.227539,0.005493,0.007324
0.152000,0.179250,57353,16,0,0.062249,9.763555,0.069432,-1.281738,-0.061035,-0.396729,-25.400391,13.227539,-0.012817,0.010986
0.153000,0.179258,57354,16,0,0.007183,9.792285,-0.076614,-1.373291,-0.122070,-0.427246,-25.400391,13.227539,-0.005493,0.010986
0.154000,0.179270,57355,16,0,-0.043096,9.773131,-0.119710,-1.464844,-0.152588,-0.305176,-25.400391,13.227539,-0.010986,-0.012817
0.155000,0.179278,57356,16,0,0.007183,9.777920,-0.043096,-1.434326,-0.091553,-0.183105,-25.400391,13.227539,0.010986,-0.012817
0.156000,0.179286,57357,16,0,0.038307,9.852140,0.000000,-1.403809,-0.183105,-0.274658,-25.400391,13.227539,-0.012817,-0.012817
0.157000,0.179296,57358,16,0,-0.002394,9.852140,0.007183,-1.373291,-0.030518,-0.244141,-25.400391,13.227539,-0.009155,0.010986
0.158000,0.179305,57359,16,0,-0.026336,9.777920,0.014365,-1.373291,-0.030518,-0.152588,-25.400391,13.227539,0.001831,0.009155
0.159000,0.179313,57360,16,0,-0.059855,9.763555,-0.045490,-1.434326,-0.061035,-0.183105,-25.400391,13.227539,0.007324,0.001831
0.160000,0.179321,57361,16,0,-0.009577,9.792285,-0.086191,-1.464844,-0.091553,-0.335693,-25.400391,13.227539,0.016479,0.000000
0.161000,0.179330,57362,16,0,0.052672,9.840169,-0.009577,-1.342773,-0.061035,-0.274658,-25.400391,13.227539,-0.012817,-0.014648
